ID	x	y
3_NE_1	3544.513	2582.337
3_NE_2	3547.403	2584.988
3_NE_3	3551.726	2580.139
3_NE_4	3548.74	2577.369
3_SE_1	3538.422	2559.933
3_SE_2	3548.43	2569.057
3_SE_3	3550.962	2566.024
3_SE_4	3541.026	2556.9
3_SW_1	3522.515	2562.477
3_SW_2	3525.525	2565.319
3_SW_3	3529.943	2560.303
3_SW_4	3526.862	2557.724
2_NW_1	3606.899	2484.279
2_NW_2	3616.978	2493.212
2_NW_3	3619.581	2490.25
2_NW_4	3609.502	2481.27
2_NE_1	3627.511	2489.056
2_NE_2	3630.64	2491.683
2_NE_3	3634.82	2486.691
2_NE_4	3631.906	2483.969
2_SW_1	3607.114	2470.498
2_SW_2	3610.075	2473.292
2_SW_3	3614.494	2468.348
2_SW_4	3611.485	2465.745
2_SE_1	3622.376	2467.118
2_SE_2	3632.622	2476.015
2_SE_3	3635.13	2473.125
2_SE_4	3625.051	2464.145
1_NW_1	3690.811	2391.566
1_NW_2	3700.747	2400.642
1_NW_3	3703.398	2397.728
1_NW_4	3693.295	2388.604
1_NE_1	3711.256	2396.558
1_NE_2	3714.313	2399.113
1_NE_3	3718.708	2394.169
1_NE_4	3715.722	2391.422
1_SW_1	3690.978	2377.856
1_SW_2	3693.892	2380.794
1_SW_3	3698.31	2375.73
1_SW_4	3695.253	2373.079
1_SE_1	3706.192	2374.464
1_SE_2	3716.272	2383.517
1_SE_3	3718.994	2380.555
1_SE_4	3708.844	2371.598
0_NW_1	3784.056	2292.732
0_NW_2	3791.794	2300.017
0_NW_3	3794.493	2296.96
0_NW_4	3786.946	2290.033
0_SW_1	3779.541	2288.158
0_SW_2	3783.53	2288.063
0_SW_3	3783.841	2281.59
0_SW_4	3779.828	2281.387
0_U_1	3776.198	2294.786
0_U_2	3779.995	2293.616
0_U_3	3778.562	2289.866
0_U_4	3774.693	2291.132
