POINTS,x,y
12_1,3776,2291.724
12_2,3776.991,2291.405
12_3,3777.998,2291.086
12_4,3776.395,2292.64
12_5,3777.377,2292.329
12_6,3778.368,2292.01
12_7,3776.781,2293.572
12_8,3777.755,2293.261
12_9,3778.737,2292.959
13_1,3780.585,2287.146
13_2,3780.627,2285.97
13_3,3780.66,2284.778
13_4,3780.711,2283.594
13_5,3780.753,2282.41
13_6,3781.601,2287.138
13_7,3781.66,2285.962
13_8,3781.701,2284.803
13_9,3781.76,2283.619
13_10,3781.811,2282.461
13_11,3782.6,2287.121
13_12,3782.659,2285.954
13_13,3782.701,2284.795
13_14,3782.759,2283.644
13_15,3782.818,2282.494
0_1,3785.658,2292.818
0_2,3786.39,2292.085
0_3,3787.027,2291.448
0_4,3791.645,2298.542
0_5,3792.433,2297.69
0_6,3793.142,2296.934
0_7,3788.707,2295.724
0_8,3789.447,2294.991
0_9,3790.148,2294.259
0_10,3789.562,2296.528
0_11,3790.273,2295.774
0_12,3791.026,2295.041
0_13,3790.315,2297.26
0_14,3791.058,2296.496
0_15,3791.727,2295.731
0_16,3791.016,2297.897
0_17,3791.759,2297.133
0_18,3792.438,2296.326
0_19,3787.969,2294.999
0_20,3788.691,2294.288
0_21,3789.402,2293.577
0_22,3787.311,2294.373
0_23,3787.98,2293.608
0_24,3788.67,2292.918
0_25,3786.494,2293.608
0_26,3787.247,2292.908
0_27,3787.916,2292.228
1_1,3707.59,2374.433
1_2,3708.376,2373.552
1_3,3709.023,2372.873
1_4,3716.199,2382.151
1_5,3716.974,2381.323
1_6,3717.707,2380.58
1_7,3712.017,2378.382
1_8,3712.675,2377.597
1_9,3713.429,2376.801
1_10,3714.15,2380.304
1_11,3714.862,2379.582
1_12,3715.615,2378.743
1_13,3712.781,2379.062
1_14,3713.524,2379.72
1_15,3713.482,2378.329
1_16,3714.225,2378.987
1_17,3714.246,2377.522
1_18,3714.978,2378.191
1_19,3714.894,2380.951
1_20,3715.562,2381.556
1_21,3715.562,2380.229
1_22,3716.305,2380.802
1_23,3716.348,2379.401
1_24,3717.059,2380.017
1_25,3709.979,2376.567
1_26,3710.711,2375.792
1_27,3711.412,2375.017
1_28,3710.764,2377.246
1_29,3711.433,2377.883
1_30,3711.454,2376.493
1_31,3712.134,2377.108
1_32,3712.187,2375.707
1_33,3712.877,2376.333
1_34,3708.439,2375.166
1_35,3709.161,2374.359
1_36,3709.851,2373.595
1_37,3709.236,2375.919
1_38,3709.979,2375.145
1_39,3710.69,2374.348
2_1,3712.629,2396.441
2_2,3713.271,2395.703
2_3,3713.898,2394.971
2_4,3714.551,2394.222
2_5,3715.182,2393.484
2_6,3715.824,2392.763
2_7,3714.243,2397.778
2_8,3714.869,2397.056
2_9,3715.517,2396.34
2_10,3716.148,2395.618
2_11,3716.78,2394.896
2_12,3717.422,2394.169
2_13,3713.457,2397.12
2_14,3714.057,2396.404
2_15,3714.72,2395.671
2_16,3715.389,2394.912
2_17,3716.015,2394.185
2_18,3716.631,2393.49
3_1,3692.184,2391.457
3_2,3692.821,2390.714
3_3,3693.415,2390.013
3_4,3692.901,2392.115
3_5,3693.535,2391.364
3_6,3694.135,2390.663
